,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
10,4,385,26265,"i want to use a track-bar to change a form's  has_attached_tag . this is my code: has_codeblock when i try to build it, i get this error: cannot implicitly convert type 'decimal' to 'double'. i tried making has_codeblock a has_codeblock , but then the control doesn't work. this code has worked fine for me in vb.net in the past.",When setting a form's opacity should I use a decimal or double?,13,1,7.0,8.0,2008-07-31 21:42:52,<c#><winforms><type-conversion><decimal><opacity>,,1,329
11,6,173,12787,"i have an absolutely positioned has_codeblock containing several children, one of which is a relatively positioned has_codeblock . when i use a percentage-based width on the child has_codeblock , it collapses to ' has_numeric ' width on ie7, but not on firefox or safari. if i use pixel width , it works. if the parent is relatively positioned, the percentage width on the child works. is there something i'm missing here? is there an easy fix for this besides the pixel-based width on the child? is there an area of the has_codeblock specification that covers this?",Percentage width child element in absolutely positioned parent on IE7,5,0,31.0,9.0,2008-07-31 22:08:08,<html><css><css3><internet-explorer-7>,,1,566
12,9,1194,305072,"given a has_codeblock representing a person's birthday, how do i calculate their age?",How do I calculate someone's age in C#?,54,5,1404.0,1.0,2008-07-31 23:40:59,<c#><.net><datetime>,,1,85
13,11,994,104400,"given a specific has_codeblock value, how do i display relative time, like:  has_numeric  hours ago  has_numeric  days ago a month ago",How can relative time be calculated in C#?,33,11,1248.0,1.0,2008-07-31 23:55:37,<c#><datetime><datediff><relative-time-span>,,1,134
14,13,384,111349,is there a standard way for a web server to determine what time zone offset a user is in? perhaps from a has_codeblock header? or part of the user-agent string?,Determining a web user's time zone,23,3,357.0,9.0,2008-08-01 00:42:38,<html><browser><timezone><timezoneoffset>,,1,160
15,14,247,74181,what is the difference between has_links and has_links in  has_attached_tag ?,Difference between Math.Floor() and Math.Truncate(),8,1,,11.0,2008-08-01 00:59:11,<.net>,,1,77
16,16,56,65032,"how do you expose a  has_attached_tag  query as an asmx web service? usually, from the business tier, i can return a typed has_codeblock or has_codeblock which can be serialized for transport over asmx . how can i do the same for a  has_attached_tag  query? is there a way to populate a typed has_codeblock or has_codeblock via a  has_attached_tag  query?: has_codeblock how can i get the resultset of a  has_attached_tag  query into a has_codeblock or has_codeblock ? alternatively, is the  has_attached_tag  query serializeable so that i can expose it as an asmx web service?",Filling a DataSet or DataTable from a LINQ query result set,5,0,12446.0,2.0,2008-08-01 04:59:33,<c#><linq><web-services><.net-3.5>,,1,577
17,17,85,37551,how do i store binary data in has_links ?,Binary Data in MySQL,10,0,26.0,2.0,2008-08-01 05:09:55,<mysql><database><binary-data><data-storage>,,1,41
18,19,198,30930,"solutions are welcome in any language. :-) i'm looking for the fastest way to obtain the value of π, as a personal challenge. more specifically i'm using ways that don't involve using has_codeblock d constants like has_codeblock , or hard-coding the number in. the program below tests the various ways i know of. the inline assembly version is, in theory, the fastest option, though clearly not portable; i've included it as a baseline to compare the other versions against. in my tests, with built-ins, the has_codeblock version is fastest on gcc  has_numeric . has_numeric , because it auto-folds the has_codeblock into a constant. with has_codeblock specified, the has_codeblock version is fastest. here's the main testing program ( has_codeblock ): has_codeblock and the inline assembly stuff ( has_codeblock ), noting that it will only work for x86 and x64 systems: has_codeblock and a build script that builds all the configurations i'm testing ( has_codeblock ): has_codeblock apart from testing between various compiler flags (i've compared  has_numeric -bit against  has_numeric -bit too, because the optimisations are different), i've also tried switching the order of the tests around. the has_codeblock version still comes out top every time, though.",What is the fastest way to get the value of π?,22,15,531.0,13.0,2008-08-01 05:21:22,<performance><algorithm><language-agnostic><unix><pi>,,1,1262
19,24,69,33505,"if i have a trigger before the update on a table, how can i throw an error that prevents the update on that table?",Throw an error in a MySQL trigger,4,0,49.0,22.0,2008-08-01 12:12:19,<mysql><database><triggers>,,1,114
