,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,ClosedDate,label,length
10,4,385,26265,"I want to use a track-bar to change a form's opacity. This is my code: has_codeblock When I try to build it, I get this error: Cannot implicitly convert type 'decimal' to 'double'. I tried making has_codeblock a has_codeblock , but then the control doesn't work. This code has worked fine for me in VB.NET in the past.",When setting a form's opacity should I use a decimal or double?,13,1,7.0,8.0,2008-07-31 21:42:52,,1,318
11,6,173,12787,"I have an absolutely positioned has_codeblock containing several children, one of which is a relatively positioned has_codeblock . When I use a percentage-based width on the child has_codeblock , it collapses to ' has_numeric ' width on IE7, but not on Firefox or Safari. If I use pixel width , it works. If the parent is relatively positioned, the percentage width on the child works. Is there something I'm missing here? Is there an easy fix for this besides the pixel-based width on the child? Is there an area of the has_codeblock specification that covers this?",Percentage width child element in absolutely positioned parent on IE7,5,0,31.0,9.0,2008-07-31 22:08:08,,1,566
12,9,1194,305072,"Given a has_codeblock representing a person's birthday, how do I calculate their age?",How do I calculate someone's age in C#?,54,5,1404.0,1.0,2008-07-31 23:40:59,,1,85
13,11,994,104400,"Given a specific has_codeblock value, how do I display relative time, like:  has_numeric  hours ago  has_numeric  days ago a month ago",How can relative time be calculated in C#?,33,11,1248.0,1.0,2008-07-31 23:55:37,,1,134
14,13,384,111349,Is there a standard way for a Web Server to determine what time zone offset a user is in? Perhaps from a has_codeblock header? Or part of the user-agent string?,Determining a web user's time zone,23,3,357.0,9.0,2008-08-01 00:42:38,,1,160
15,14,247,74181,What is the difference between has_codeblock and has_codeblock in .NET?,Difference between Math.Floor() and Math.Truncate(),8,1,,11.0,2008-08-01 00:59:11,,1,71
16,16,56,65032,"How do you expose a LINQ query as an ASMX web service? Usually, from the business tier, I can return a typed has_codeblock or has_codeblock which can be serialized for transport over ASMX . How can I do the same for a LINQ query? Is there a way to populate a typed has_codeblock or has_codeblock via a LINQ query?: has_codeblock How can I get the resultset of a LINQ query into a has_codeblock or has_codeblock ? Alternatively, is the LINQ query serializeable so that I can expose it as an ASMX web service?",Filling a DataSet or DataTable from a LINQ query result set,5,0,12446.0,2.0,2008-08-01 04:59:33,,1,507
17,17,85,37551,How do I store binary data in MySQL ?,Binary Data in MySQL,10,0,26.0,2.0,2008-08-01 05:09:55,,1,37
18,19,198,30930,"Solutions are welcome in any language. :-) I'm looking for the fastest way to obtain the value of π, as a personal challenge. More specifically I'm using ways that don't involve using has_codeblock d constants like has_codeblock , or hard-coding the number in. The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable; I've included it as a baseline to compare the other versions against. In my tests, with built-ins, the has_codeblock version is fastest on GCC  has_numeric . has_numeric , because it auto-folds the has_codeblock into a constant. With has_codeblock specified, the has_codeblock version is fastest. Here's the main testing program ( has_codeblock ): has_codeblock And the inline assembly stuff ( has_codeblock ), noting that it will only work for x86 and x64 systems: has_codeblock And a build script that builds all the configurations I'm testing ( has_codeblock ): has_codeblock Apart from testing between various compiler flags (I've compared  has_numeric -bit against  has_numeric -bit too, because the optimisations are different), I've also tried switching the order of the tests around. The has_codeblock version still comes out top every time, though.",What is the fastest way to get the value of π?,22,15,531.0,13.0,2008-08-01 05:21:22,,1,1262
19,24,69,33505,"If I have a trigger before the update on a table, how can I throw an error that prevents the update on that table?",Throw an error in a MySQL trigger,4,0,49.0,22.0,2008-08-01 12:12:19,,1,114
