,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,ClosedDate,label,length
10,724103,-6,11568,how to create a modal popup window with background with gray color using javascript and css. can any body show me the example. it's urgent,How to create a modal popup using javascript,5,1,,68381.0,2009-04-07 04:06:43,,-1,138
11,736670,-7,19231,"I have an array, and need to find the index of the smallest item, using Java or C, without altering the content or ordering of the array. For example, with the input: has_codeblock  has_numeric  should be returned. I am unsure how to do this, can anybody help?",How do I find the smallest item in an array?,14,3,736695.0,66593.0,2009-04-10 04:10:15,2015-01-14 03:32:19,-1,260
12,771673,-8,631,"How can I hide my executable so it doesn't show up in task manager when running? There are a lot of EXEs running with the same name, and I want to avoid confusing users. Update OK, fine. Tell me, how can I disallow the EXE from being killed by others from Task Manager?",Disable Exe From Task Manager,3,4,,63213.0,2009-04-21 08:47:50,2012-01-24 09:27:51,-1,269
13,798416,-7,981,"Can anyone help me fix the following javascript code? It is supposed to produce a calendar, but the first line is not right. Two problems that I can see: The 1st of april is not on a sunday, so it starts on the wrong day The line is too long, unless April of  has_numeric  really has a first week containing  has_numeric  days I'd appreciate any help you can give me. Here's a screenshot showing the problem for April  has_numeric  (which starts on Wednesday btw). ? And here's the faulty javascript code. has_codeblock",How do I fix this calendar javascript code?,2,9,,96225.0,2009-04-28 14:59:07,2012-04-21 17:28:36,-1,519
14,841124,-6,159,This table is not printing properly has_codeblock,Problem in html code,1,3,,66593.0,2009-05-08 18:18:28,2012-09-30 10:52:09,-1,49
15,858109,-6,452,I want to know how to find an element in list without iteration,List Element without iteration,3,2,,46646.0,2009-05-13 13:58:28,,-1,63
16,941156,-11,768,"Why do we need callbacks in ASP.NET or any server side technology? One answer can be, to achieve asynchronous calls. But I am not satisfied with this answer. Please explain it in a different way.",Why do we need callbacks in ASP.NET or any server side technology?,6,1,941175.0,159072.0,2009-06-02 18:32:40,2012-08-20 13:35:56,-1,195
17,992389,-7,1046,How would you Subclass an NSOutlineView?,Subclassing NSOutlineView,2,2,992455.0,92714.0,2009-06-14 07:47:49,2013-12-31 02:34:01,-1,40
18,1031150,-6,885,"Searching for a js script, which will show some message (something like ""Loading, please wait"") until the page loads all images . Important - it mustn't use any js framework (jquery, mootools, etc), must be an ordinary js script. Message must disappear when the page is loaded.",Loading message,4,2,1031188.0,99250.0,2009-06-23 07:43:20,,-1,277
19,1035459,-7,1210,i'm reposting this post i just posted a while ago. http://stackoverflow.com/questions/ has_numeric /how-do-i-write-a-javascript-alert-box-to-give-a-yes-or-no-question-and-integrate/ has_numeric # has_numeric  i wasnt getting anymore responses so i figured the post got lost in somewhere out there. what i tried doing was this has_codeblock and it didnt work. the record just got deleted once i pressed the link to delete. what am i doing wrong? thanks ps: i cant do ajax yet im looking for a simple way of doing it so i can comprehend how it works thanks,how do i write a javascript alert box to give a yes or no question and integrate with php calls? (repost),3,3,,112924.0,2009-06-23 21:51:25,2016-01-04 23:26:13,-1,554
20,1037193,-6,2133,Where do I get a link to install Qt with the MinGW cross compiler in Linux?,Install MinGW for SUSE Linux,4,2,1037207.0,119570.0,2009-06-24 08:56:22,2013-11-29 04:57:42,-1,75
21,1065211,-8,1067,"If I have a class in has_codeblock like: has_codeblock How can I use it in framework.cpp using the has_codeblock keyword, where I need to instantiate the class and call has_codeblock ? Edit: has_codeblock is not allowed.",How can I use a class from a header file in a source file using extern but not #include?,10,9,1066423.0,51816.0,2009-06-30 18:26:59,,-1,220
22,1087576,-6,488,has_codeblock,ERROR ON: numApprovals = (int)cmd.ExecuteScalar();,4,2,1087608.0,1709270.0,2009-07-06 15:19:02,2012-01-24 08:26:28,-1,13
23,1124760,-6,1484,"I have  has_numeric  check box when i select anyone of the check box need to display the respective check box and text box. input type=""checkbox"" id=""acheck[]"" value='name' input type=""textbox"" id=""productfield"" value=' ' jquery Code: has_codeblock",Jquery - multiple checkbox and multiple textbox,1,4,,1486512.0,2009-07-14 11:18:43,,-1,248
24,1139749,-6,969,"I was having a discussion with a colleague about whether or not the following is possible: Install an MFC application from a USB drive in Windows XP (this installation would be initiated manually by a user with sufficient privileges to install software). After rebooting, this application should start instead of the default Windows XP shell (explorer.exe). Does anyone know how I might accomplish this?",How can I run my application in place of the default Windows XP shell?,2,8,,102062.0,2009-07-16 19:22:28,,-1,403
25,1171100,-6,1679,How can I add a friend invite feature to my newly created Facebook application?,Friend Invite Feature for Facebook Applications,2,1,,129099.0,2009-07-23 11:19:09,2015-03-24 14:00:41,-1,79
26,1181615,-6,181,"In a  has_numeric  computer, what is the worst case (include the fetch) number of memory accesses of this instruction: has_codeblock It is known that an opcode with no operands is two bytes in length.",Worst case memory access in 80x86 assembly,1,5,1181642.0,144904.0,2009-07-25 08:43:05,,-1,200
27,1203926,-7,339,"When I try to execute my program, I get an error. I can't read the last value in "" has_codeblock "": has_codeblock What could be causing this behavior?",Why does this C function not return an integer value?,2,9,1203935.0,165402.0,2009-07-30 01:04:36,,-1,150
28,1233548,-6,1575,"Suddenly, in editing mode i can't move the cells. Before i could. I didn't change anything. thx",Reorder cells - Stop working,3,4,,151093.0,2009-08-05 14:15:56,2011-10-26 19:29:44,-1,95
29,1263266,-6,15410,"i want download all images stored in html(web page) , i dont know how much image will be download , and i don`t want use ""HTML AGILITY PACK"" i search in google but all site make me more confused , i tried regex but only one result ... ,",c# find image in html and download them,4,5,,69821.0,2009-08-11 22:11:25,,-1,236
30,1346796,-13,901,How do I get a Row from a Gridview control in DevExpress?,Getting Row from Gridview in Dev Express?,3,0,1346898.0,,2009-08-28 12:47:17,,-1,57
31,1350378,-6,7479,What is Median of Sorted Arrays in O(log n) complexity ?,What is Median of Sorted Arrays in O(log n) complexity?,4,7,1350400.0,164299.0,2009-08-29 03:42:43,2012-10-28 04:44:33,-1,56
32,1354684,-7,208,"How can you find files by the following regex? has_codeblock The solution may be in the commands: find, perl, ls",How can I find filenames that do not have a . in them?,3,3,1354702.0,,2009-08-30 19:18:50,2012-08-22 13:51:08,-1,112
33,1370865,-6,5811,I thought else at the end of has_codeblock is not necessary in java but unless I put it in the code does not work. why is this?,java: is else necessary after if else if statements?,3,5,1370882.0,163957.0,2009-09-03 00:30:22,2012-08-30 01:01:03,-1,127
34,1417123,-8,354,"has_codeblock At the above code, which object and reference is created in the which part of memory? (I mean Heap and Stack)",Which object is created in which part of memory?,2,10,1417139.0,104085.0,2009-09-13 07:45:37,,-1,123
35,1447981,-6,2479,How can I run a jsp program?,How can I run a jsp program?,2,0,,80359.0,2009-09-19 06:51:33,2012-11-26 13:59:52,-1,28
36,1480556,-6,2045,how to use the templatetag of django app?,django templatetag?,1,1,,243774.0,2009-09-26 06:13:06,2012-08-28 21:38:07,-1,41
37,1486723,-8,4692,"Does PHP include any function like has_codeblock and has_codeblock ? I want a has_codeblock function which will convert has_codeblock to has_codeblock or has_codeblock to has_codeblock . Similarly, has_codeblock should convert has_codeblock to has_codeblock or has_codeblock to has_codeblock .",Does PHP include toupper and tolower functions?,4,5,1486731.0,177785.0,2009-09-28 12:16:27,2012-03-28 18:00:59,-1,293
38,1523141,-7,315,"quandry is - which of the following two method performs best Goal - get an object of type Wrapper ( defined below ) criteria - speed over storage no. of records - about  has_numeric - about  has_numeric , max about 6K Choices - Create Object on the fly or do a lookup from a dictionary Execution speed - called x times per second NB - i need to deliver the working code first and then go for optimization hence if any theorists can provide glimpses on behind the scene info, that'll help before i get to the actual performance test possibly by eod thu Definitions - has_codeblock Method  has_numeric  has_codeblock Method  has_numeric  has_codeblock",C# performance question,5,3,1523168.0,135852.0,2009-10-06 01:04:17,,-1,649
39,1531874,-9,1464,"I am even starting to doubt ASP .Net....I should have opted for php on this project... It seems ASP >net is only good in IE and never good in Firefox,Safari etc Is there a way to just make my pages render correctly in Other browsers other than IE..... The last time I was told to put .browser in my project and that really worked....for a season...now only the master page shows and content inside the content placeholders does not show....",My asp .net Master Page is not correctly rendering in Firefox,2,5,1532169.0,174188.0,2009-10-07 14:08:56,2012-08-13 01:05:48,-1,440
40,1570081,-7,197,has_codeblock,Any other way to make the query shorter?,2,5,,182350.0,2009-10-15 03:02:29,2012-04-21 17:28:17,-1,13
41,1570316,-6,987,I have a string named group. has_codeblock So my issue is that I want my output to be something like this:  has_numeric   has_numeric  so these  has_numeric  numbers should be stored in the database as two records. and another case if the has_codeblock it will store  has_numeric  values in the database. The number of groups always differs in different strings it can be  has_numeric  or many.  has_numeric   has_numeric   has_numeric  the database structure is like this: has_codeblock Thanks. Hope to hear from you guys soon.,Get specific data from a string? C#,2,3,1570799.0,430543.0,2009-10-15 04:46:31,,-1,528
42,1580471,-6,335,"I want to make a has_codeblock button on Start>Run i.e but when I do it will not do signalled event? Im sorry I have seen that you do not get the question. Ok basically when you create a button with has_codeblock ; I want to do that but put on a different window with has_codeblock which I have already done now the button does not work so I need my program to someone get when it is clicked from the Run window as example! And yes you have it, but it's not making the button is the problem it's getting when it's clicked with my program since it does not belong to it anymore!",How to mix C++ and external buttons on seperate window?,2,7,1658902.0,69467.0,2009-10-16 21:14:38,,-1,577
43,1592257,-6,146,If has_codeblock does has_codeblock work?,"ObjectUtils.equal(x,y) null can work",2,6,,192808.0,2009-10-20 03:11:46,2012-01-19 21:23:25,-1,41
44,1654302,-6,1250,"I have a existing application and I want to implement In App purchase in this application, so that application is available freely on App Store with some locked feature and if user tries to access those locked feature, they will get some message to buy unlock those features by buying the app. Please tell me steps to implement this or some reference where step by step guidance is available.",iPhone + In App purchase,2,0,,178369.0,2009-10-31 12:53:11,,-1,392
45,1694025,-6,4599,"Specially in comparison to C/C++ (which are declarative), how is Java imperative?",How is Java an 'imperative' programming language and not a 'declarative' one?,2,2,,182959.0,2009-11-07 18:51:45,,-1,81
46,1696896,-7,1556,How can I to print the numbers from  has_numeric  to  has_numeric  in the following format? has_codeblock,how to check whether the number ends with 9 or not in numbers 1to 100,8,5,,206282.0,2009-11-08 15:37:22,2012-09-29 17:46:34,-1,105
47,1697855,-10,344,I'm wondering. Is there any way or online service for learning?,How can i understand a web site's language which is written by url rewriting method?,2,4,1697934.0,179446.0,2009-11-08 20:37:00,2012-03-29 12:48:48,-1,63
48,1698947,-7,535,"I'm trying to block all user input in my app. That includes touch event,sleep button, home button, etc. It's for jailbroken device. So you can use whatever that works. Thank you!",How to block all input on iPhone app(for jailbroken devices)?,3,1,,206564.0,2009-11-09 03:28:01,2012-04-21 17:28:02,-1,178
49,1699513,-9,2517,I want code for uploading and downloading a file in JSP.,Uploading and downloading a file in JSP,1,2,,206682.0,2009-11-09 07:06:30,2012-10-29 15:06:45,-1,56
50,1779459,-10,8569,Can anybody tell me how to write a multiplication function (in has_codeblock ) using recursion?,Code an integer multiplication function using recursion (in C),10,2,,2714770.0,2009-11-22 18:08:23,2012-08-22 13:51:00,-1,95
51,1893768,-12,542,See source code of this http://jsbin.com/iveso I can't change anything in xhtml code. And i need cross browser output exact like this. How we can give same look with less and optimize css This is CSS has_codeblock Edit: I found links which are useful for me http://snook.ca/archives/html%5Fand%5Fcss/getting%5Fyour%5Fdi http://www.dev-archive.net/articles/table-in-css.html,How to use css to style xhtml markup made only of divs like a table,2,6,1893837.0,84201.0,2009-12-12 15:32:16,2012-06-07 13:21:01,-1,373
52,1895799,-8,2844,"If I have a network of nodes, how can I use genetic algorithms to calculate the shortest path between any two nodes?",How do I solve for the shortest path between nodes using genetic algorithms?,2,6,,230587.0,2009-12-13 07:01:52,2012-09-26 15:05:08,-1,116
53,1896765,-6,186,I have a ready made PHP class. Now how can I use that class or implement it in my page. How would I go about doing this?,How can I use a class made in PHP?,5,5,1896769.0,229849.0,2009-12-13 15:04:24,,-1,120
54,1927719,-6,1084,"What is the most elegant way to convert the string ""a.pdf"" into ""a.jpg"" using Python? I would like for my code to look beautiful.",What is the most elegant way of converting the string 'a.pdf' to 'a.jpg'?,10,4,1927729.0,95876.0,2009-12-18 11:39:08,2013-12-19 07:49:52,-1,129
55,1935118,-10,327,run: has_codeblock I'm getting this error while saving the data in the database.The database is has_codeblock base.,Does anyone know what is this...?,3,1,,682281.0,2009-12-20 07:28:20,2012-02-07 19:11:02,-1,115
56,1948250,-6,149,What benefits we can take using regex in xhtml css development? any tools and useful regex commands?,What benefits we can take using regex in xhtml css development?,3,2,1948291.0,84201.0,2009-12-22 18:28:00,2013-07-09 00:55:11,-1,100
57,1988913,-7,425,"I am developing an app that needs to retrieve information from my web site when a user pushes a button, but I have no idea how can I do that!",How to make app retrieve information from a web site?,1,1,1988933.0,241969.0,2010-01-01 15:52:10,2011-12-05 20:32:59,-1,141
58,1997795,-6,1017,has_codeblock thanks. what is the useful of a.,what is the 'decimal.getcontext().copy()' mean ,4,6,1997983.0,234322.0,2010-01-04 06:21:17,2012-01-26 13:11:21,-1,46
59,1999144,-6,4013,I am trying to call a variable for use in another function. The variable is only in the other function and not declared as a global variable. Does anyone know how to call the other variable. The code below shows the 'retval' variable being used but it is declared in the other function. has_codeblock Thanks The function I declare it in is: has_codeblock,Calling a variable from another function Python,2,2,1999165.0,234435.0,2010-01-04 12:05:33,,-1,354
60,2019077,-6,182,"I've never used ext myself, but I see there are many .java files in it. The strange thing is that it's taken as javascript? Why?",What's the principle inside ext?,1,3,,198729.0,2010-01-07 08:30:04,2012-08-23 12:44:14,-1,128
61,2073276,-6,579,"i have asked this question  has_numeric  days before but I can not edit that(I don't know why)also i have changed some part of my classes.also I have checked it a lot but really I don't know that why it returns null value(on the console is written : has_codeblock ),please help me. at first i get the text from a text area which get text from client and then i will set it to my text area which is the output(like chat frame in Yahoo Messenger) and then i will send that text to my MainClient class. my send button action performed in my chat frame:(I have tested the String text in the chat frame and it wasn't null) has_codeblock my MainClient class:(a part of that) has_codeblock my MainServer class:(a part of that) has_codeblock At first I will run the MainServer and then I will run the MainClient(which will show the chat frame). EDIT:please start reading from this part: these are two classes ,one for gui and the other for client.(network) it returns nothing on the console for server so it will return nothing to the client.please help me thanks. my GUI class:(a part of that) (like a chat frame which by clicking on the Send button .I will send something for the server) my gui class(chat frame) a part of that: has_codeblock my MainClient class:(a part of that) has_codeblock at first I will run the client class So the gui class will be run which name is chat Frame.",Why does it return a null value?!!(client/server application),3,3,,124339.0,2010-01-15 16:49:30,,-1,1379
62,2079249,-8,637,"I have pascal code (programming language actually doesn't mean anything): box[ has_numeric ] :=  has_numeric ; box[ has_numeric ] :=  has_numeric ; box[ has_numeric ] :=  has_numeric ; box[ has_numeric ] :=  has_numeric ; box[ has_numeric ] :=  has_numeric ; box[ has_numeric ] :=  has_numeric ; I want to get all possibilities. For instance, box[ has_numeric ] = box[ has_numeric ], then box[ has_numeric ] = box[ has_numeric ]. Yes, I can write it by my hand, but I guess I can make it more clever, by loop. Any suggestions?",All array possibilities,3,7,2080640.0,237681.0,2010-01-16 23:02:16,,-1,526
63,2099662,-6,3001,"How do we split the value in an array suppose  has_numeric  into three different values  has_numeric , has_numeric , has_numeric ? I want this to be done in java.",how to split the value in an array in java,4,4,,254667.0,2010-01-20 07:22:47,,-1,162
64,2099822,-6,7304,I couldn't find the advantages and disadvantages of using a database over plain files. Would you please help me?,What are the advantages and disadvantages of using a database over plain files?,2,2,2099851.0,124339.0,2010-01-20 08:06:26,,-1,112
65,2127585,-6,495,"http://forums.alliedmods.net/showthread.php?t= has_numeric  The source acts like its missing a ton of stuff I can't find like uh TBX and some other things I don't really know the language, but I have hoping I could get it to compile with delphi  has_numeric / has_numeric .net and then see about porting its IL. (to C# I guess) The reasoning behind this is because pawnstudio is crash happy but the program (layout, syntax highlighting, the fact that the intellisense (clamsense) works with functions from includes, in the file, etc) is really easy to use. Can anyone help?",How would I port this delphi 7 prog to .net (C#)?,4,7,2127734.0,207117.0,2010-01-24 15:44:40,,-1,573
66,2130654,-6,568,"Possible Duplicate: What does 'synchronized' mean? What is the purpose of Java synchronization, and how should I use it?",When and why would I use Java synchronization?,2,1,,258208.0,2010-01-25 06:39:38,2012-01-26 13:04:11,-1,120
67,2166402,-6,444,"In this situation, is it better to use a loop or not? has_codeblock or has_codeblock",Loop or no loop?,8,4,2166569.0,261608.0,2010-01-30 01:17:14,2013-07-12 00:20:47,-1,84
68,2206797,-8,21561,I have to use Matlab to read a picture and make a joint histogram and I'm new to Matlab. When I try to read the Image by using has_codeblock function it does not work. has_codeblock Can anyone help me figure out this problem?,How do I load an image file in Matlab?,4,2,,266993.0,2010-02-05 11:24:28,,-1,225
69,2210928,-6,717,has_codeblock I'm so confused?? :(,How I do fibonaci sequence under 1000?,3,8,2210949.0,206504.0,2010-02-05 22:32:23,2012-01-25 18:38:04,-1,34
70,2227902,-6,370,"I need to download something from server to local machine just by a visiting an url without any popup-window,using something like php or python.But cannot find a good solution.Is it possible or not?Hope someone can help me.",Is it possible to download something to a default local dir quietly using a server side script?,4,5,2228072.0,268530.0,2010-02-09 09:16:04,,-1,223
71,2231383,-6,881,"I am an experienced video-slot type game developer. There is a small gaming company who wants to try their luck with an iPhone game, and they want me to work on it. They want to know how long it would take me to develop a game using Unity3D, given that they provide all the graphics and game rules. I don't have any experience with Unity3D or the iPhone, but I have done some programming on the mac and I know c# very well (unity uses c# scripts). Does anybody have an idea of a 'typical' project length? I understand this is extremely vague, I appreciate any comments.",Typical iPhone game project length with Unity3D,3,0,5249481.0,73992.0,2010-02-09 18:18:57,2012-08-22 17:30:21,-1,569
72,2237154,-6,1591,has_codeblock What else do I need to add to make my code run properly?,"How can I write to the textfile with ""while""?",2,6,2237268.0,270308.0,2010-02-10 13:41:59,,-1,70
73,2263523,-8,4064,Does it happen automatically? How do can run it?,Does Java have automatic garbage collection?,5,15,2263526.0,179736.0,2010-02-15 00:56:34,2014-04-06 11:05:34,-1,48
74,2272978,-6,1933,"I have learned programming on .NET. It's been  has_numeric  years since I have started (serious) programming, I gained experience in VBA, JavaScript but mainly C#. I have spent a lot of time trying to grasp the good coding practices, object orientation etc. Now finally I have a job. The job is fixing/upgrading an ERP on a daily basis. Creating reports and maybe sometimes new stuff. I have absolutely no experience in Delphi, and no motivation to learn it especially when people are moving to .NEt from Delphi not in the reverse direction sa my manager expects :) The question is that are there any tools that I write C# code and compile into this object pascal or whatever it is. Thanks in advance.","From .NET to Delphi, an ERP on Delphi",11,12,,274361.0,2010-02-16 12:58:17,2014-04-29 12:14:32,-1,701
75,2274872,-7,568,How do I make an application form in PHP that sends an e-mail using the has_codeblock function?,php email sending application form,3,0,,274570.0,2010-02-16 17:25:26,2012-04-21 01:00:02,-1,95
76,2287477,-6,220,"Work on Asp.net vs08 C#.My textBox is bellow, has_codeblock this has_codeblock .aspx code want to write on .cs page how to?",Asp.Net How to databind on C#,3,0,,108308.0,2010-02-18 09:23:09,,-1,123
77,2316701,-7,306,Script runs fine in Solaris and Linux just not on the crippled MAC -- thus no build environment has_codeblock,how to make MAC recognize linux BASH? ,2,2,,279264.0,2010-02-23 08:31:53,2012-01-26 14:40:37,-1,109
78,2341171,-7,5772,"I need some ajax code to do some functions with drop down. I have three table of values one for country, then state and city. And i have three dropdown to show these values first it should show select country select state select city in that drop downs(slect) respectively. when i select united states from the first dropdown in the second drop down it must show the states of the united states. and again when i select a state from the state dropdown it must show the cities of that state in the third dropdown(city) I want to do this with ajax. can any one have a code to do this. please help me. Thanks","ajax dropdown(country, state, city)",3,2,2341429.0,116512.0,2010-02-26 11:24:06,2013-04-06 21:39:41,-1,605
79,2351252,-6,1395,"The topic of mine is face recognition using artificial neural networks using MATLAB code. I tried my work by taking the images from web and started implementing the program by using neural networks. By typing nprtool command in MATLAB ,i started training, testing and validating the images from database. When i started to calculate the mean square error for each image ,the values of mse are being increased for each and every training. I need to decrease the mse. So is there any body to help me out in telling the command in MATLAB code. Its also helpful for me if any body provides me the exact MATLAB code for face recognition using artificial neural networks.",Reducing Mean Square Error,1,1,,283098.0,2010-02-28 14:05:26,2012-04-22 13:27:54,-1,665
80,2386724,-6,243,Please Provide me sample code to carete wordpress plugin,how to create new plugin in wordpress?,3,0,,286876.0,2010-03-05 12:42:04,2012-04-21 00:59:52,-1,56
81,2387708,-6,146,can u please show me how to query  has_numeric  tables using *? thanks,How to get data 3 tables?,2,1,2387738.0,207376.0,2010-03-05 15:12:29,,-1,70
82,2390479,-6,239,"here's the job description: has_codeblock what is an XML schema? ive extracted data programmatically from XML files, but i dont understand what they mean by schema? data analysis in SQL server environment - does this just mean knowing how to do joins and select statements? SSRS (design and administration) - can someone please get me started on some basic tutorials where i can learn this? what is Monarch and VorteXML and where can i learn the applications?",some microsoft products and XML on an interview,2,3,2390503.0,117700.0,2010-03-05 22:46:16,2011-11-30 19:37:40,-1,459
83,2406196,-6,2226,"I'm new here and on python too, and i need a code to login an HTTPS webpage the page is: ritaj.birzeit.edu and how can i know if its correct username or password , can you help in this :)",Python: I need a code to auto login a website with HTTPS,1,0,2406221.0,288208.0,2010-03-09 02:08:17,2012-01-26 15:28:28,-1,187
84,2443529,-6,1380,"I want to perform an HTTP redirect, but the way I am currently doing it isn't working. When I try redirect it just prints the status code, and the location header: has_codeblock",How do I issue an HTTP redirect with Perl's CGI.pm?,3,2,,225509.0,2010-03-14 19:55:46,,-1,177
85,2493469,-6,270,Please help me find a grammar or automaton to decide the following language: a n b n c n where n≥ has_numeric ,I need to find an automaton for this language,1,12,,299144.0,2010-03-22 15:27:47,2011-04-06 01:21:23,-1,110
86,2511691,-11,471,"For example, strlen() takes about  has_numeric *O(n). Why  has_numeric ? I've wrote a really simple strlen-like function - it works much faster. has_codeblock Well, some of my friends says, nearly all of string.h algorithms are slower than they should be.",C: Why some string.h algorithms work slower than simple hand-made ones?,6,20,2511730.0,232371.0,2010-03-24 21:54:38,2012-06-07 13:20:24,-1,255
87,2536396,-6,188,I would like to create a database where I store the links between people. I then need to bring back the records detailing which people are connected to which others. I need to output: person1 is connected to person2 is connected with person3 etc. How can I get started with this task?,Storing connections between people in a MySql database,1,1,,298099.0,2010-03-29 07:36:08,2012-04-22 13:27:13,-1,284
88,2582653,-6,218,How do you make a function read form a txt file and store random lines in a variable? It will be run over and over in a foreach loop. The language is PHP. Im a new coder so I don't know things like this off the top of my head.,How do you make a function read form a txt file and store random lines in a variable?,3,3,,309716.0,2010-04-06 04:35:24,2012-04-22 13:26:59,-1,226
89,2607158,-6,3401,"I want less methods. I want a common global TestClass from which I could use any of its value inside the class. has_codeblock [Clarification Needed] I cannot understand the no-use of GLOB.VARS. Please, see the code belowe where you cannot access the GLOB.VARS without an instance, hence the error. If I quarantee no malicious code can make an instance, is there any problem in using GLOB.vars? has_codeblock",Java: how to have global values inside a class?,6,2,2607200.0,164148.0,2010-04-09 11:59:48,,-1,407
90,2633647,-6,90,is it posible? i try this: has_codeblock b4 the function declaration s but it no work.why no? Edit: it magicaly work now,How to embed JavaScript in C++?,2,10,,,2010-04-13 22:28:57,2010-04-13 23:04:25,-1,120
91,2676903,-9,2263,"I want the code/program for paint brush in Visual C++ using open gl.It must include square,rectangle,triangle,circle,pencil,eraser and it must have buttons.",Visual C++ program for paint brush code using openGL,1,5,,282708.0,2010-04-20 16:33:47,2012-01-19 16:56:56,-1,156
92,2702832,-6,368,"While I was talking about javascript closure to my friend, I was told that using Mootools can prevent closures  has_numeric %. To my knowledege, a variable causes a closure. How does Mootools itself prevents javascript closure? I think my friend is saying that Mootools' functions are closure-safe functions. Any suggestions?",Does Mootools prevents javascript closure 100%?,1,7,,100240.0,2010-04-24 01:25:08,,-1,325
